PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
95,862462,663693,C1=CC=C2C(=C1)C=CC=C2C3=NN=C(O3)SCC#CCOC(=O)C4=CC=CS4,Active,62,,,>,100,,47.28,,352.75,16.01,5.55,89.72,71.02,-2.06,-0.04,0.31,-3.66,-4.51,-8.69,-5.14,-1.02,89.72,100
96,862549,663778,C1CCC(C1)N2C(=C(C3=NC4=CC=CC=C4N=C32)C(=O)OCC5CCCO5)N,Active,57,,,,86.77,,60.69,,2.84,6.15,3.73,95.81,23.2,2.83,2.67,-8.19,4,3.2,-0.26,0.54,-2.22,95.81,100
97,862552,663781,COC(=O)[C@H](CCSC)NC(=O)N1CCN(CC1)C2=CC=CC(=C2)C(F)(F)F,Active,69,,,,58.81,,28.96,,2.95,3.1,8.81,96.96,80.16,43.57,-1.21,-0.79,-20.79,-0.72,-2.09,-0.56,-8.32,96.96,100
98,862693,663925,CCN(CC)C(=O)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=C(C=C3)OC,Active,60,,,>,100,,52.77,,3.98,2.23,5.46,77.04,49.3,19.2,-6.19,-8.27,-0.02,-1.58,-2.21,1.42,-3.9,77.04,100
99,862910,664149,COC1=C(C=C2C(=C1)C3=C(N2)C(=NC=N3)N4CCN(CC4)C5=CC=CC=N5)OC,Inactive,0,,,,,,,,,,,4.78,6.43,26.39,-0.83,0.22,11.18,4.04,0.64,0.8,3.41,26.39,25
100,863017,664254,CCCCOCCCN1C(=NC2=NC3=CC=CC=C3N=C21)C4=CC=CO4,Active,41,,,>,100,,99.94,,0.23,80.5,4.72,51.22,-8.97,4.65,-1.92,0.51,-0.04,0.54,2.58,2.35,7.71,51.22,100
101,863040,664281,C1NC(=NCN1CCC2=CC=CC=C2)NC3=NC4=CC=CC=C4O3,Inactive,0,,,,,,,,,,,-12.83,-15.12,-8.94,-3.32,3.63,-12.73,-1.37,-1,-5.82,-5.06,3.63,6.25
102,863132,664369,CC(C)C1=NC(=NO1)C2=C(N=C(C=C2)C3=CC=C(C=C3)OC)OC,Active,65,,,,54.65,,40.27,,2.37,7.19,3.73,95.93,82.67,2.96,-0.41,-4.37,-2.78,-3.43,-5,-2.48,-5.11,95.93,100
103,863192,664439,CCN1CCN(CC1)C2=C(N=C(O2)COC3=CC=C(C=C3)C4=CC=CC=C4)C#N,Active,66,,,,47.61,,36.39,,2.71,8.18,4.45,99.43,93.1,4.36,9.02,1.23,-1.08,-2.07,-2.73,-4.73,-6.33,99.43,100
104,863353,664608,CC(C)(C)C1CCC2=C(C1)SC3=C2C(=O)N(C4=NN=C(N34)SCC(=O)N)C,Active,71,,,,41.66,,24.73,,0.84,4.21,3.71,99.76,99.32,49.66,8.27,8.49,-1.64,-0.95,-0.51,-3.06,-1.18,99.76,100
105,863475,664729,C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=NC(=C(O3)NCCCN4C=CN=C4)C#N,Active,66,,,,42.98,,37.55,,44.09,16.26,6.07,100.02,99.06,0.13,-9.06,-2.72,10.17,-5.6,-6.12,-1.43,-5.54,100.02,100
106,863592,664841,C1CC2=C(C3=C(C=CN(C3=O)CC4=CC=CC=C4)N=C2C1)N,Active,77,,,,15.91,,9.72,,0.44,4.46,4.2,98.16,97.2,94.22,76.1,11.72,0.24,-4.04,-1.68,-0.46,9.54,98.16,100
107,863607,664856,CC1CCN(CC1)C2=NC(=NC3=C2OC4=CC=CC=C43)C,Active,72,,,,30.26,,22.57,,1.73,7.5,4.42,94.16,95.21,68.37,0.13,2.72,-6.53,1.29,6.21,1.38,2.93,95.21,50
108,863906,665158,C1OC2=C(O1)C=C(C=C2)NC(=O)CSC3=NC4=C(N3)C=C(C=N4)Br,Active,71,,,>,100,,25.15,,2.82,1.98,7.74,86.75,81.06,48.98,26.04,0.1,-13.85,-7.63,-2.48,-5.42,-3.98,86.75,100
109,863998,665250,CN1C=C(C=C1C2=NC3=CC=CC=C3N2C)C(=O)C4=CC=C(C=C4)Cl,Active,66,,,,49.48,,35.91,,2.39,6.85,5.01,,90.67,7.6,5.66,0.98,-0.44,3.09,-6.61,-2.35,-9.18,90.67,50
110,864029,665280,CCN1C2=C(C=C3C=C(C=CC3=N2)C)C(=N1)NC(=O)C4=CC=NC=C4,Active,79,,,>,100,,4.7,,1.11,1.22,12.72,87.85,73.96,77.07,76.93,75.28,43.75,7.74,5.58,-3.73,-6.17,87.85,100
111,864147,665395,CC1=NN(C(=C1)CC(C)C)C2=NC3=CC=CC=C3C(=O)N2OCC(=O)N,Active,76,,,,20.59,,11.17,,1,3.59,8.38,92.85,92.55,82.33,65.33,5.04,-3.81,-0.97,-10.98,-8.31,-5.39,92.85,100
112,864213,665460,CC1=C2C(=O)C=CC3=C(C2=C(O1)C)OC(=C(C3C4=CC=CC=C4Cl)C#N)N,Inactive,0,,,,,,,,,,,-20.15,2.56,-0.52,-1.47,-4.14,-5.89,-7.51,-9.09,-2.03,-10.21,2.56,50
113,864229,665476,CN1C2=C(C(=O)N(C1=O)CC3=CC=CC=C3)N4CCCN(C4=N2)C5CCCCC5,Active,41,,,>,100,>,100,>,9999,20.38,33.84,-37.27,,75.48,-6.99,-10.07,-6.02,-23.12,-9.16,-4.61,-10.24,75.48,25
114,864454,665701,CC1=CC2=C(C=C1)N(C3=C2N=CN=C3N4CCC5=CC=CC=C5C4)C,Active,51,,,>,100,,73.75,,10.34,5.99,11.72,86.26,8.39,13.54,-14.7,-11.18,-0.8,-11.65,-10.94,-7.84,-16.15,86.26,100
115,864783,666032,CC(C)CC1=NC2=C(C3=C1CCCC3)C4=C(O2)C(=NC=N4)N5CCN(CC5)CCO,Active,73,,,,24.88,,18.28,,0.65,7.14,2.56,98.65,98.53,90.31,6.3,-5.94,-2.58,-0.6,-2.31,-0.54,-0.37,98.65,100
116,865069,135400122,CCOC1=C(C=CC(=C1)C2=C(C(=O)NC3=C2C(=NN3C4=CC=C(C=C4)F)C)C#N)O,Active,79,,,,8.73,,4.87,,0.57,3.77,10.66,98.96,98.24,96.23,89.65,74.34,13.32,5.19,2.91,3.99,-28,98.96,100
117,865168,666418,CCCC1=NC=CC(=C1)C(=S)N,Active,74,,,>,100,,17.15,,2.23,1.63,8.14,83.56,80.95,69.3,41.36,15.32,-6.25,2.81,-9.05,-6.07,-8.46,83.56,100
118,865218,666468,CCOC(=O)C1=CC=C(C=C1)NC(=O)CCC2=NC(=NO2)C3=CC=C(C=C3)Cl,Active,62,,,>,100,,48.09,,9.7,2.39,15.24,72.36,62.29,15.15,-8.23,-9.11,-32.04,-10.75,-7.99,-5.98,-9.7,72.36,100
119,865561,666820,CCCC12CN3CC(C1=O)(CN(C2)C3C4=CC=CC=N4)CCC,Active,77,,,>,100,,9.71,,1.05,1.73,6.96,88.96,89.67,86.8,56.53,42.44,2.19,0.16,-2.66,-1.52,1.05,89.67,50
120,865678,666939,CC1=NC2=C(C=NN2C(=C1)N3CCCCC3)C4=CC=C(C=C4)Cl,Inactive,0,,,,,,,,,,,4.56,3.46,2.85,0.59,0.98,7.41,3.6,2.58,5.04,-1.13,7.41,3.13
121,865743,667004,CCOC(=O)C1=C(NC2=NC(=NN2C1C3=CC(=CC(=C3)F)F)SCC(=O)OC)C,Active,77,,,,12.45,,9.99,,4.52,10.01,12.26,94.81,96.93,98.09,90.38,0.89,-4.78,-1.68,-9.56,-11.8,-30.11,98.09,25
122,865786,667046,CCCN1C2=CC=CC=C2N=C1NC3=NC4=CC=CC=C4N3C,Active,55,,,,75.83,,65.35,,51.09,14.78,5.47,99.82,1.87,5.78,-4.6,-5.24,-3.47,-1.14,-4.64,-1.63,-10.94,99.82,100
123,865789,667049,CCCCN1C=NC2=C1C=CC(=C2)NCC3=C(C(=CC=C3)OC)O,Inactive,0,,,,,,,,,,,24.48,-5.29,-1.23,1.67,-4.56,-0.88,-22.81,-4.99,-5.4,-5.56,24.48,100
124,865856,667116,CCCC1=NC2=C(C3=C1COC(C3)(C)C)C(=C(O2)C(=O)OCC)N,Inactive,0,,,,,,,,,,,9.84,0.07,1.4,2.46,-3.16,3.79,-43.82,-3.62,-2.6,-7.53,9.84,100
125,865948,667205,CC(C)C[C@@H](C1=NN=C(O1)SCC(=O)OC)NC(=O)OC(C)(C)C,Active,72,,,,29.87,,21.95,,2.91,7.13,8.31,95.7,88.24,72,0.05,-9.2,-5.87,-6.02,-7.14,-4.84,-13.01,95.7,100
126,866131,667390,CCOC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2CC=C)CC3=CC=CS3,Inactive,0,,,,,,,,,,,0.82,-1.75,3.96,0.18,0.33,-6.26,-3.23,-3.61,-4.66,-1.1,3.96,25
127,3711107,2103410,CN1C=NN=C1SCC2=CC=C(O2)C3=CC=C(C=C3)Br,Inactive,0,,,,,,,,,,,3.16,0.39,-3.19,-5.29,-2.49,-7.87,-14.05,-3.77,-4.03,3.36,3.36,0.2
128,3711730,2997749,C1CC2(CCC1C3=CC=CC=C3)N=C(NC4=NC5=CC=CC=C5N24)N,Active,68,,,,43.71,,32.47,,4.53,7.39,9.03,99.68,96.05,12.64,-0.03,-2.18,-13.22,-7.37,-18.7,-3.47,-7.48,99.68,100
129,3711737,2997754,CC1=CC(=C(C=C1)C(C)C)OCC(=O)OCC2=C(ON=C2C)C,Active,79,,,,6.88,,4.65,,0.32,5.6,5.89,98.29,96.98,94.52,91.18,84.43,9.51,-2.32,-5.82,-7.26,-8.44,98.29,100
130,3711751,2132993,CC(C)OC(=O)CCCCCN1C(=O)CSC1=S,Active,76,,,,19.17,,11.47,,0.96,4.28,8.74,97.73,97.14,86.24,62.05,1.48,0.54,-1.5,-5.42,-18.14,-9.65,97.73,100
131,3711765,2997762,CC(C)(C)C1CCC2=C(C1)SC(=N2)NC(=O)CC3=CN4C=CSC4=N3,Active,71,,,,35.4,,24.27,,1.04,5.82,5.79,99.58,95.07,54.69,-0.4,-0.92,-7.64,-7.48,-4.77,-9.17,-5.24,99.58,100
132,3711979,2997838,CC1=NN(C(=C1C2C=C(NC3=NN=NN23)C4=CC(=C(C=C4)OC)OC)Cl)C5=CC=CC=C5,Active,43,,,>,100,,94.13,,6.1,6.89,5.61,60.27,1.29,-1.27,-4.25,-2.09,-11.19,-5.6,-1.79,-4.3,-7.01,60.27,100
133,3712294,2564674,C1CCN(C1)S(=O)(=O)C2=CN=C(C=C2)OC3=CC4=C(C=C3)OC5=CC=CC=C54,Inactive,0,,,,,,,,,,,-0.11,-3.16,-3.18,-5.38,-2.66,-1.46,-11.33,-0.31,1.03,1.16,1.16,0.2
134,3712332,2094416,CN1C(=NN=N1)SCC(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3OC,Active,76,,,,21.55,,11.69,,1.6,3.59,13.08,93.37,91.41,85.31,60.78,1.53,6.84,-0.55,-1.08,-30.17,-12.33,93.37,100
135,3712666,2092983,COC1=NC=C(C=C1)NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCC4=CC=CC=C4C3,Inactive,0,,,,,,,,,,,-1.34,-1.07,4.27,-2.96,1.75,0.04,-1.49,-9.81,-9.93,-9.51,4.27,25
136,3712847,6603228,COC1=CC=C(C=C1)C(=O)OCCNC(=O)C2=C(N=C3N2C=CC=C3)Cl.Cl,Active,79,,,,10.6,,4.19,,0.36,2.37,6.54,98.57,97.48,89.46,90.26,71.41,38.56,1.78,-4.84,-9.54,5,98.57,100
137,3712888,2082098,CC1=CC=C(S1)S(=O)(=O)NC2=CC=CC3=C2C=CC=N3,Active,79,,,,6.54,,3.38,,0.08,3.32,2.27,98.29,98.22,97.52,96.55,86.89,45.34,3.45,1.81,-0.51,-1.97,98.29,100
138,3712893,2568748,CCOC1=C(C(=CC(=C1)C(=O)OCC2=CC=C(O2)C(=O)OC)Br)OC,Inactive,0,,,,,,,,,,,0.05,1.16,3.11,-7.73,-1.72,0,5.21,-1.67,0.85,0.51,5.21,1.56
139,3713070,2998267,CCOC(=O)C1=C(C2=C(N=CN=C2S1)NCC(C3=CC=CS3)N(C)C)C,Active,64,,,,57,,42.04,,1.77,7.22,2.55,94.76,77.87,1.87,-0.18,-0.78,1.96,1.66,3.96,-0.85,1.58,94.76,100
140,3713120,2998294,CC1=CC(=C(N1C2=CC=CC=C2Cl)C)C3N=C(NC4=NC5=CC=CC=C5N34)N,Active,74,,,,21.42,,17.31,,1.64,10.32,3.6,99.68,99.81,97.8,3.35,1.71,-0.86,7.83,1.16,-5.43,-2.74,99.81,50
141,3713127,2306849,CCN1C(=NC2=C1C=CC(=C2)C(=O)OC(C(C(F)F)(F)F)C(C(F)F)(F)F)C,Active,72,,,,25.8,,21.25,,7.01,11.33,3.87,99.99,99.43,86.32,0.23,0,-6.45,-5.69,-4.3,-4.36,-2.88,99.99,100
142,3713614,2579441,COC1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)N3CCC4=CC=CC=C4C3,Active,68,,,,45.29,,30.56,,1.57,5.59,4.48,98.75,94.3,24.39,2.68,3.03,3.14,-5.86,-5.89,-4.49,-6.88,98.75,100
143,3713837,2998560,C1C/C(=C(\C#N)/C2=NC(=CS2)C3=CC=CC=C3)/NC1,Inactive,0,,,,,,,,,,,0.87,4.25,2.9,-2.01,-1.92,-7.59,-8.94,-13.32,1.18,-7.07,4.25,50
144,3714082,2526110,CN(CC(=O)NC1=C(C(=C(C=C1)F)F)F)C2=NC=CN=C2,Active,77,,,,13.43,,9.88,,1.51,7.15,10.05,98.91,99.53,96.89,84.35,3.92,-25.6,-0.1,-5.98,-3.05,-9.8,99.53,50
145,3714089,2120718,C1CN(CCN1C2C3=CC=CC=C3C4=CC=CC=C24)C(=O)C5=NNC(=O)C6=CC=CC=C65,Inactive,0,,,,,,,,,,,4.65,1.73,-3.81,-8.8,-5.9,-1.89,-5.1,-5.31,-9.03,2.2,4.65,100
146,3714226,2998713,CCOC(=O)CSC1=C(C(C2=C(N1)CCCC2=O)C3=CC=C(C=C3)C)C#N,Active,62,,,>,100,,46.59,,8.94,2.17,13.75,72.48,63.67,17.8,-1.51,1.86,-32.99,-4.8,-6.95,-3.67,-5.9,72.48,100
147,3714242,2998720,CC1=CC=C(C=C1)N2C=CC=C2C(=S)N=P(N(C)C)(N(C)C)N(C)C,Active,71,,,,26.14,,24.64,,0.17,37.11,5.99,99.95,98.21,63.09,-10.4,-7.99,-3.19,-3.94,-6.73,-5.8,-2.7,99.95,100
148,3714250,2998724,CCC(C)(C)C1=CC=C(C=C1)OCC(CN2CCC(CC2)C(=O)OCC)O,Active,71,,,,26.53,,23.16,,148.32,16.16,4.43,98.82,94.97,77.52,-1.81,-0.68,-2.92,-4.82,-6.37,-0.42,-7.35,98.82,100
149,3714332,2998761,CN1C2=NN=C(C=C2C(=O)N(C1=O)C)NCC3=CC=CC=C3,Inactive,0,,,,,,,,,,,-9.62,-13.97,0.5,-8.91,-4.52,-15.93,-7.56,-3.63,-6.12,-8.55,0.5,25
150,3714362,2536033,CCCSC1=NN=C(S1)SC2=NN=NN2C3=CC=CC=C3,Active,72,,,,38.75,,22.49,,1.71,4.04,7.61,97.96,94.92,60.97,7.8,2.02,-12.5,-10.33,-2.95,-12,-6.2,97.96,100
151,3714845,2355260,C1COC(=CO1)C(=O)OCC(=O)C2=CC=CS2,Active,69,,,>,100,,29.93,,4.27,1.24,7.6,75.12,61.43,53.58,32.5,1.39,-0.64,-2.79,-3.65,1.36,-6.97,75.12,100
152,3715180,2999109,CC1=C(N2C=CSC2=N1)C3=NC(=CS3)C4=CC5=CC=CC=C5O4,Inactive,0,,,,,,,,,,,10.14,-2.58,-15.09,-1.87,-2.94,-31.76,-1.48,-7.79,-2.03,-5.93,10.14,100
153,3715426,2999203,CC1=NN(C2=C1C=C(S2)C(=O)NCCCN3C=CN=C3)CC4=CC=CC=C4Cl,Active,66,,,,56.05,,37.35,,4.73,5.41,11.16,99.45,82.68,10.92,-11.59,-13.28,-21.9,-7.16,-5.86,-8.38,-6.6,99.45,100
154,3715536,2669322,CC1=CC(=NN1C2=CC=C(C=C2)C(=O)OC3=CC4=C(C=C3)OCO4)C,Active,76,,,>,100,,11.69,,1.4,2.09,8.48,84.46,82.17,84.31,61.95,11.62,6.93,3.61,-1.63,-0.16,-3.96,84.46,100
155,3715735,2309266,C=CCN\1C(=O)/C(=C/C2=CC=C(C=C2)Cl)/S/C1=C(/C#N)\C3=NN=C4N3CCCCC4,Inactive,0,,,,,,,,,,,-2.32,4.69,-5.14,-7.89,-1.12,-12.21,-5.93,-5.09,-7.55,-6.84,4.69,50
156,3715777,570654,C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CS2,Active,62,,,>,100,,45.77,,954.39,17.05,9.27,85.22,81.87,-4.21,-7.62,0.72,-10.44,-10.28,-4.03,-3.64,-12.18,85.22,100
157,3715971,2320547,CC\1(C2=CC=CC=C2N(/C1=C/C(=O)C3=NC(=NC=C3Cl)S(=O)(=O)C)C)C,Active,78,,,,13.1,,6.77,,0.22,3.33,3.01,100.42,99.9,97.67,86.5,45.29,3.44,2.41,-4.95,-3.79,2.78,100.42,100
158,3716019,2388572,C1CCN(CC1)C(=O)COC(=O)C2=CC3=CC=CC=C3C=C2O,Active,79,,,,3.42,,2.95,,21.63,14.83,10.76,89.86,93.37,89.19,90.13,80.02,70.02,-5.3,-6.77,-3.72,-8.82,93.37,50
159,3716020,2610946,CC1=CC(=C(N1C2=NOC(=C2)C)C)C(=O)COC3=CC4=C(C=C3)C=CC(=O)O4,Inactive,0,,,,,,,,,,,-3.2,2.5,3.61,-2.65,-3.54,6.04,-5.18,-3.42,-7.2,-4.63,6.04,3.13
160,3716074,1190244,CC1=C(SC2=C1C(=O)N3C(=N2)C4=CC=CC=C4C(=N3)NCC5=CC=CO5)C,Inactive,0,,,,,,,,,,,-4.52,-1.38,2.87,0.22,-6.86,-1.32,-4.42,-25.04,-3.48,-3.68,2.87,25
161,3716096,2358042,COC1=C(C=C(C(=C1)C(=O)OCC(=O)NCC2=CC=CO2)NC(=O)C3=CC=CS3)OC,Active,67,,,>,100,,34.9,,8.91,1.35,13.02,72.69,55.02,57.07,,0.94,-14.17,-7.71,-8.43,-8.11,-11.25,72.69,100
162,3716166,2334604,CC1CCN(CC1)CC(=O)NC2=CC(=NN2C3=NC(=CC(=N3)C)C)C,Active,74,,,,35.27,,16.44,,0.63,2.88,3.14,97.51,93.7,77.85,31.4,3.69,3.23,6.4,0.36,1.75,-3.95,97.51,100
163,3716201,2415029,C1=CSC(=C1)C(=O)NC2=NC(=CS2)C3=C(SC(=C3)Cl)Cl,Active,54,,,>,100,,67.67,,3.3,2.07,3.26,67.75,37.39,8.8,1.98,2.87,-2.65,-2.83,-3.11,-1.78,-5.95,67.75,100
164,3716284,2999544,CCCCN1C2=C(C=C(C=C2)S(=O)(=O)N)N=C1SCC3=NC=C(O3)C4=CC=CC=C4,Active,78,,,,8.34,,5.25,,0.48,4.74,8.84,95,94.26,92.68,87.87,71.03,6.56,-11.77,-12.54,-5.16,-8.37,95,100
165,3716413,6362174,C1=CC=C\2C(=C1)C(=N/C2=N\C3=CC=CC=N3)NC4=CC=CC=N4,Active,80,,,,3.02,,2.05,,0.06,5.67,2.6,99.92,99.66,99.93,99.85,98.19,91.59,17.52,-0.12,-3.53,-6.2,99.93,25
166,3716478,2999634,CC1=C(SC2=NC=NC(=C12)OC3=CC=C(C=C3)N4C=CN=C4)C,Active,65,,,,60.98,,39.15,,0.67,4.96,1.56,99.39,77.12,9.49,4.24,-0.13,0.69,1.16,-0.83,-0.94,-0.84,99.39,100
167,3716576,2999672,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)NC(=O)CN4C(=O)C5(CCC6=CC=CC=C65)NC4=O,Active,73,,,>,100,,19.93,,1.69,5.1,7.73,88.55,85.9,77.52,6.5,5.75,0.06,5.61,1.58,2.9,-9.72,88.55,100
168,3716668,2999711,CC(CNC1=NC2=CC=CC=C2N1C3=C4C5=C(CCC5)SC4=NC=N3)O,Active,67,,,,42.05,,35.22,,24.53,12.39,16.17,100.05,98.72,1.41,0.68,-1.86,-13.9,-37.35,-10.03,-11.39,-16.42,100.05,100
169,3716907,694186,C1CCC(CC1)C(=O)OCN2C(=O)C3=CC=CC=C3N=N2,Active,78,,,,6.69,,5.88,,87.79,17.05,6.07,99.97,99.56,98.66,93.32,73.98,-4.73,-4.52,-0.3,-5.79,-13.11,99.97,100
170,3717011,2999839,COC1=CC=C(C=C1)C2=NN3CCC4=NC5=CC=CC=C5N4C3=C2,Inactive,0,,,,,,,,,,,26.82,6.08,4.31,2.92,2.03,3.5,0.48,0.66,-1,-5.65,26.82,100
171,3717451,2403395,C1=CSC(=C1)C(=O)CSC2=NC3=C(O2)C=CC(=C3)Cl,Inactive,0,,,,,,,,,,,0.59,6.16,10.52,0.43,2.29,3.91,1.05,-1.56,-9.07,-5.97,10.52,25
172,3717642,2331284,CC1=CC(=C(N1C2=CC=CC=C2)C)C3=NN=C4N3CCCCC4,Active,63,,,,73.76,,45.34,,1.46,4.52,3.38,99.19,60.46,6.98,2.7,0.07,7.15,2.61,-1.75,3.84,2.43,99.19,100
173,3717778,2348112,C1=CC=C(C=C1)OC2=CC=CC(=C2)OCC(=O)NC3=NC=CC=N3,Active,61,,,>,100,,50.39,,4.66,3.24,8.34,79.59,56.63,-0.4,-3.25,-4.59,-10.57,-7.33,-6.93,-5.41,-3.43,79.59,100
174,4240527,1821543,C1=CC=C(C(=C1)CSC2=C(C(=NS2)SCC(=O)N)C#N)Cl,Active,62,,,>,100,,45.84,,2.54,2.52,4.31,82.41,59.95,14.25,3.53,-1.36,1.26,-6.51,-3.83,-4.95,0.5,82.41,100
175,4240638,3235723,CCOC1=CC=CC2=C1OC(=O)C(=C2)C(=O)NC3=NC=CS3,Active,80,,,,15.32,,2.4,,0.25,1.19,5.46,99.05,99.09,96.13,81.03,70.61,61.55,44.62,20.23,2.97,-1.62,99.09,50
176,4240961,5771281,C1=CC(=C(C=C1Cl)N)O/C=C\C#N,Active,72,,,,23.87,,21.54,,1517.23,21.44,6,99.97,98.36,96.05,-3.05,2.1,-9.67,-11.54,1.73,-4.12,-5,99.97,100
177,4240978,3236009,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCO4)N5CCN(CC5)C6=NC=CC=N6,Inactive,0,,,,,,,,,,,-0.14,7.04,-5.01,-4.43,-1.18,-8.13,-4.1,-2.6,-2.11,-0.35,7.04,50
178,4241602,3236557,C1COCCN1C2=NC=NC(=C2)NC(=O)NC3(OC4=C(O3)C=C(C=C4)Cl)C(F)(F)F,Active,71,,,,26.92,,23.57,,691.61,16.51,16.3,100.09,98.81,72.6,-4.77,-7.19,-3.65,-43.99,-6.76,-5.51,-5,100.09,100
179,4241788,3236720,CCOC(=O)C1=CC=C(C=C1)OC2=NC(=NC(=N2)N(C)C)NC(C)(C)C,Active,58,,,>,100,,58.11,,4.2,3.21,6.33,88.82,34.44,12.09,9.78,0.37,0.29,-12.17,-3.94,1.68,-3.08,88.82,100
180,4241889,3236803,CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2,Active,73,,,,27.56,,17.99,,0.52,5.15,2.59,99.13,95.19,84.88,13.03,1.65,2.02,2.15,-1.48,2.25,4.09,99.13,100
181,4242369,2155773,CCOC(=O)N1CCN(CC1)C(=O)CSC2=NN=C(O2)C3=CC=C(S3)Cl,Active,71,,,,29.91,,25.25,,13.94,12.98,8.75,,91.86,46.75,-11.17,5.93,-6.44,-8.84,-5.13,-9.46,-8.6,91.86,50
182,4242387,3237248,CC1=CC2=C(N1)C=CC(=C2)CNC(=O)NC3CCCCC3,Active,66,,,,53.66,,35.99,,2.91,5.5,7.09,99.79,85.82,12.07,-3.08,-2.67,-1.81,3.83,-2.96,-1.53,-18.83,99.79,100
183,4242621,3237452,CCCCNC1=NC(=NC(=N1)N(C)C2=CC=CC=C2)N3C=CN=C3,Active,41,,,>,100,>,100,,,11.54,42.05,-36.15,,,96.26,2.81,-0.37,3.38,-3.01,0.17,-2.62,96.26,12.5
184,4242654,2158935,COC1=CC=CC(=C1)C2=NN=C(O2)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,Active,68,,,,46.01,,32.36,,3.28,6.25,8.06,90.53,93.68,16.9,-8.68,-4.35,-6.56,-8.37,-8.43,-5.77,-10.73,93.68,50
185,4243018,3237799,COC1=C2C(=CC=C1)SC(=N2)NC3=NN=C(O3)C4=CC=CS4,Active,67,,,,42.69,,33.93,,5.28,9.57,6.73,97.48,97.59,5.13,-8.35,-2.98,-13.3,-3.8,-3.77,-2.94,-7.96,97.59,50
186,4243491,3238206,CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)CN3CCN(CC3)C4=CC(=CC=C4)Cl,Inactive,0,,,,,,,,,,,11.09,3.38,3.55,5.82,-2.23,-5.54,-7.89,-7.28,-8,-5.28,11.09,100
187,4243601,9555274,C1=CC=C2C(=C1)N=C(N2/N=C/C3=CC=C(C=C3)Br)N,Inactive,0,,,,,,,,,,,-0.83,-11.69,9.88,2.46,8.02,-5.47,0.01,2.35,-1,-8.45,9.88,25
188,4243931,3238601,CCOC(=O)C1CCCN(C1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)OC,Active,78,,,,10.31,,5.82,,0.51,3.84,8.64,98.56,97.79,93.81,78.17,63.63,-2.01,-2.3,-3.78,-7.84,-5.94,98.56,100
189,4244225,2761023,C1CNCC=C1C2=CNC3=CC=CC=C32,Active,58,,,,73.95,,56.53,,3.75,8.18,2.79,99.24,26.81,1.39,0.54,-0.66,2.33,3.8,0.01,0.23,-6.32,99.24,100
190,4244239,3238861,CCOC(=O)C(C)SC1=NC=NC2=C1N=NN2C3=CC=C(C=C3)F,Active,79,,,,9.68,,2.61,,0.12,1.68,2.88,99.59,99.24,97.87,90.28,81.65,56.74,34.23,5.67,3.84,1.8,99.59,100
191,4244616,3239190,CCOC(=O)C1=C(C2=C(S1)N=C3CCC(CCN3C2=O)C)C,Active,71,,,,26.38,,23.02,,145.69,16.1,4.61,93.28,92.4,79.13,-0.84,3.41,-3.58,1.48,-1.06,0.89,-6.15,93.28,100
192,4244682,3239252,CC1=C(C=C(C=C1)C2=CN3C=CC=NC3=N2)NC(=O)C4=CC=C(O4)Br,Inactive,0,,,,,,,,,,,2.75,-5.04,6.82,-2.64,-7.92,-7.68,1.2,-5.52,-0.02,3.64,6.82,25
193,4245391,3239868,CC(C)(C)NC1=NC(=NC(=N1)N2C=CN=C2)NC(C)(C)C,Active,57,,,,98.46,,59.93,,5.35,4.43,8.54,93.34,28.79,13.33,3.08,2.79,10.09,0.13,0.6,-17.74,-3.29,93.34,100
194,4245399,3239873,CC1=CC(=NN1CC2=CC=C(C=C2)Cl)NC(=O)C3=NOC4=C3CCCC4,Inactive,0,,,,,,,,,,,-5.15,0.75,-4.74,-5.23,-0.42,-15.17,-5.79,-8.5,-7.42,-14.44,0.75,50
